"recipients","donors","transconjugants","segregadas","adaptations_number","cycle"
"1",948799,1189,3,9,0,6348388
"2",948806,1176,7,11,0,9432607
"3",948751,1221,16,12,0,12431316
"4",948759,1210,13,18,0,15439007
"5",948719,1246,14,21,0,18431136
"6",948762,1189,21,28,0,21426413
"7",948731,1214,22,33,0,24420519
"8",948705,1246,19,30,0,27418206
"9",948696,1244,28,32,0,30418181
"10",948693,1244,40,23,0,33410698
"11",948689,1254,35,22,0,36404651
"12",948653,1291,38,18,0,39388882
"13",948617,1326,36,21,0,42382782
"14",948633,1308,41,18,0,45378992
"15",948632,1314,36,18,0,48373925
"16",948585,1377,22,16,0,51366829
"17",948572,1396,21,11,0,54368519
"18",948557,1418,14,11,0,57357079
"19",948600,1375,15,10,0,60358970
"20",948601,1372,18,9,0,63354987
"21",948622,1352,18,8,0,66357882
"22",948617,1355,18,10,0,69354029
"23",948602,1379,16,3,0,72344028
"24",948588,1395,15,2,0,75351177
"25",948564,1412,22,2,0,78361063
"26",948605,1369,23,3,0,81360976
"27",948599,1369,32,0,0,84354136
"28",948593,1378,28,1,0,87355125
"29",948598,1367,34,1,0,90352859
"30",948631,1332,35,2,0,93353635
"31",948615,1340,42,3,0,96355432
"32",948622,1343,32,3,0,99338836
"33",948628,1334,32,6,0,102329243
"34",948613,1346,37,4,0,105325089
"35",948626,1330,42,2,0,108310156
"36",948604,1352,36,8,0,111308980
"37",948577,1379,38,6,0,114305432
"38",948595,1355,44,6,0,117302179
"39",948569,1376,51,4,0,120300338
"40",948578,1370,45,7,0,123302773
"41",948582,1364,45,9,0,126287711
"42",948596,1348,48,8,0,129280293
"43",948578,1370,42,10,0,132285088
"44",948574,1379,39,8,0,135283306
"45",948609,1337,44,10,0,138281915
"46",948595,1345,45,15,0,141268738
"47",948535,1400,51,14,0,144261941
"48",948515,1428,45,12,0,147261674
"49",948528,1435,29,8,0,150244609
"50",948482,1485,32,1,0,153236111
"51",948466,1491,43,0,0,156242179
"52",948444,1524,30,2,0,159239659
"53",948402,1557,33,8,0,162226707
"54",948416,1545,33,6,0,165231724
"55",948401,1549,44,6,0,168216005
"56",948386,1555,55,4,0,171196448
"57",948360,1577,58,5,0,174196667
"58",948312,1624,62,2,0,177188415
"59",948322,1607,63,8,0,180177292
"60",948290,1646,51,13,0,183179224
"61",948297,1633,59,11,0,186165545
"62",948259,1676,54,11,0,189155858
"63",948239,1705,43,13,0,192150905
"64",948225,1719,40,16,0,195145941
"65",948113,1826,45,16,0,198138864
"66",948068,1850,53,29,0,201138487
"67",948039,1868,61,32,0,204137138
"68",948031,1863,65,41,0,207134394
"69",947981,1901,70,48,0,210140420
"70",948044,1841,59,56,0,213122371
"71",948017,1872,61,50,0,216118441
"72",948019,1868,57,56,0,219117629
"73",948022,1859,58,61,0,222102114
"74",947976,1897,68,59,0,225093132
"75",948016,1888,50,46,0,228087543
"76",947991,1909,53,47,0,231086114
"77",947927,1983,52,38,0,234081752
"78",947876,2042,50,32,0,237082163
"79",947865,2057,46,32,0,240084869
"80",947855,2054,52,39,0,243078307
"81",947861,2053,39,47,0,246068996
"82",947776,2146,38,40,0,249057279
"83",947803,2106,44,47,0,252043707
"84",947764,2146,51,39,0,255041616
"85",947775,2141,54,30,0,258036376
"86",947766,2136,63,35,0,261033489
"87",947743,2154,68,35,0,264031447
"88",947762,2138,61,39,0,267027491
"89",947763,2129,73,35,0,270023061
"90",947733,2143,79,45,0,273017384
"91",947741,2156,69,34,0,276005931
"92",947713,2177,64,46,0,278996263
"93",947729,2152,69,50,0,281987297
"94",947785,2094,72,49,0,284983899
"95",947805,2095,49,51,0,287971609
"96",947759,2136,49,56,0,290971735
"97",947800,2095,42,63,0,293967169
"98",947780,2116,42,62,0,296955894
"99",947786,2097,49,68,0,299949265
"100",947776,2121,47,56,0,302949433
"101",947794,2096,36,74,0,305952790
"102",947806,2080,39,75,0,308960698
"103",947776,2089,58,77,0,311954897
"104",947748,2096,82,74,0,314956401
"105",947740,2125,68,67,0,317952037
"106",947775,2070,64,91,0,320948572
"107",947831,1998,75,96,0,323938128
"108",947818,2026,67,89,0,326938059
"109",947784,2063,61,92,0,329922955
"110",947762,2106,45,87,0,332905931
"111",947692,2150,59,99,0,335900469
"112",947670,2156,47,127,0,338906783
"113",947635,2181,59,125,0,341904790
"114",947538,2303,48,111,0,344894289
"115",947524,2340,47,89,0,347884632
"116",947481,2393,34,92,0,350884937
"117",947526,2373,31,70,0,353882523
"118",947499,2376,51,74,0,356869960
"119",947462,2419,43,76,0,359869215
"120",947433,2446,56,65,0,362864666
"121",947450,2440,59,51,0,365868589
"122",947467,2425,56,52,0,368856133
"123",947468,2423,41,68,0,371834637
"124",947492,2397,49,62,0,374829957
"125",947449,2429,52,70,0,377845586
"126",947427,2465,44,64,0,380842729
"127",947471,2402,57,70,0,383843004
"128",947414,2443,67,76,0,386830539
"129",947382,2470,60,88,0,389831888
"130",947318,2509,68,105,0,392817451
"131",947337,2509,55,99,0,395800581
"132",947321,2507,65,107,0,398794161
"133",947299,2535,70,96,0,401797065
"134",947246,2559,82,113,0,404798122
"135",947258,2549,79,114,0,407795635
"136",947259,2548,69,124,0,410796123
"137",947198,2608,74,120,0,413816004
"138",947194,2595,82,129,0,416810183
"139",947170,2612,84,134,0,419804662
"140",947124,2660,78,138,0,422795886
"141",947132,2679,74,115,0,425795523
"142",947092,2702,88,118,0,428779407
"143",947048,2742,79,131,0,431773296
"144",947079,2686,88,147,0,434764288
"145",947125,2672,70,133,0,437757020
"146",947121,2683,72,124,0,440756905
"147",947084,2711,76,129,0,443746354
"148",947091,2688,83,138,0,446745146
"149",947061,2724,100,115,0,449743522
"150",946984,2806,77,133,0,452738643
"151",947001,2781,88,130,0,455735216
"152",947014,2779,66,141,0,458728880
"153",946938,2853,60,149,0,461723839
"154",946981,2786,70,163,0,464718470
"155",946980,2817,65,138,0,467703779
"156",946995,2799,66,140,0,470685951
"157",946966,2807,83,144,0,473684725
"158",946899,2884,76,141,0,476680573
"159",946880,2902,85,133,0,479678167
"160",946742,3035,83,140,0,482672793
"161",946708,3085,72,135,0,485661164
"162",946712,3086,61,141,0,488664658
"163",946694,3099,56,151,0,491652701
"164",946686,3090,53,171,0,494646025
"165",946769,3010,68,153,0,497632125
"166",946689,3083,65,163,0,500626440
"167",946663,3136,56,145,0,503619341
"168",946655,3129,58,158,0,506610860
"169",946604,3157,64,175,0,509608932
"170",946534,3234,77,155,0,512603553
"171",946540,3246,73,141,0,515589452
"172",946582,3205,65,148,0,518581156
"173",946625,3179,59,137,0,521573464
"174",946605,3207,46,142,0,524579924
"175",946580,3242,41,137,0,527580356
"176",946600,3199,55,146,0,530583146
"177",946575,3216,64,145,0,533582073
"178",946563,3227,68,142,0,536568991
"179",946597,3191,64,148,0,539558474
"180",946646,3143,66,145,0,542559052
"181",946554,3229,60,157,0,545551105
"182",946576,3192,58,174,0,548542475
"183",946541,3226,57,176,0,551540106
"184",946513,3240,46,201,0,554534115
"185",946506,3240,48,206,0,557526327
"186",946430,3310,58,202,0,560532342
"187",946447,3261,67,225,0,563528008
"188",946446,3259,61,234,0,566522969
"189",946440,3245,66,249,0,569508759
"190",946407,3267,64,262,0,572494392
"191",946371,3308,56,265,0,575485387
"192",946431,3281,41,247,0,578474967
"193",946380,3318,51,251,0,581469908
"194",946357,3318,56,269,0,584459581
"195",946285,3405,53,257,0,587455191
"196",946240,3459,55,246,0,590439170
"197",946287,3430,59,224,0,593432701
"198",946222,3480,60,238,0,596424209
"199",946249,3446,65,240,0,599417591
"200",946254,3454,70,222,0,602419403
"201",946251,3447,86,216,0,605421295
"202",946227,3450,89,234,0,608408250
"203",946198,3495,78,229,0,611398117
"204",946130,3534,84,252,0,614387961
"205",946152,3491,82,275,0,617380047
"206",946201,3442,75,282,0,620362824
"207",946227,3417,82,274,0,623356348
"208",946199,3441,88,272,0,626343895
"209",946215,3425,80,280,0,629340283
"210",946274,3360,65,301,0,632337048
"211",946229,3377,66,328,0,635324428
"212",946240,3398,56,306,0,638312817
"213",946167,3432,77,324,0,641310956
"214",946194,3424,61,321,0,644300863
"215",946177,3434,70,319,0,647292560
"216",946148,3452,83,317,0,650287694
"217",946168,3445,96,291,0,653279828
"218",946125,3461,93,321,0,656278801
"219",946154,3426,106,314,0,659276827
"220",946148,3445,91,316,0,662264209
"221",946098,3486,109,307,0,665252780
"222",946101,3492,96,311,0,668236298
"223",946088,3506,95,311,0,671230629
"224",946044,3569,80,307,0,674214873
"225",946013,3598,74,315,0,677224737
"226",945992,3599,68,341,0,680230217
"227",946053,3576,58,313,0,683224352
"228",946009,3595,59,337,0,686223748
"229",946091,3523,55,331,0,689225314
"230",946096,3528,64,312,0,692224633
"231",945961,3655,73,311,0,695212541
"232",945904,3695,77,324,0,698200509
"233",945856,3719,78,347,0,701192533
"234",945839,3765,68,328,0,704194944
"235",945844,3776,62,318,0,707188124
