recipients,donors,transconjugants,segregadas,adaptations_number,cycle
9660,935149,1289,3902,0,7019082
9422,934569,1837,4172,0,10422465
9148,934157,2454,4241,0,13744928
8824,933848,3082,4246,0,17059767
8575,933589,3584,4252,0,20371870
8208,933411,4125,4256,0,23701845
7742,933200,4896,4162,0,27028715
7406,933120,5388,4086,0,30341657
7163,933044,5790,4003,0,33669280
6779,933056,6222,3943,0,36997150
6566,933030,6481,3923,0,40314279
6175,933102,6780,3943,0,43632002
5801,933098,7211,3890,0,46958038
5624,933052,7468,3856,0,50273033
5339,933199,7771,3691,0,53594813
5063,933179,8082,3676,0,56915929
4763,933388,8362,3487,0,60249205
4443,933518,8646,3393,0,63568194
4235,933585,8861,3319,0,66878611
3976,933649,9161,3214,0,70198123
3817,933748,9418,3017,0,73531921
3604,933790,9671,2935,0,76862042
3390,933759,9921,2930,0,80201118
3238,933739,10181,2842,0,83543759
2983,933864,10344,2809,0,86866029
2775,933828,10604,2793,0,90197989
2542,933905,10813,2740,0,93529256
2379,933930,10973,2718,0,96868336
2176,934171,10952,2701,0,100199724
2019,934560,10725,2696,0,103545091
1903,934784,10627,2686,0,106870901
1762,934821,10555,2862,0,110198862
1719,934948,10431,2902,0,113528628
1571,935148,10458,2823,0,116861430
1439,935172,10516,2873,0,120199013
1344,935334,10428,2894,0,123535258
1306,935599,10142,2953,0,126870847
1211,935778,10162,2849,0,130196231
1128,935837,10231,2804,0,133530495
1070,935984,10070,2876,0,136854361
1039,935863,10017,3081,0,140175841
928,936107,9976,2989,0,143501118
821,936386,9852,2941,0,146830514
688,936508,9935,2869,0,150154458
669,936795,9767,2769,0,153480910
601,937018,9651,2730,0,156819625
552,937097,9727,2624,0,160131651
494,937497,9434,2575,0,163464389
480,937596,9305,2619,0,166792484
418,937910,9107,2565,0,170116590
384,938044,9098,2474,0,173461478
383,938030,9059,2528,0,176804267
372,938295,8757,2576,0,180134146
355,938441,8705,2499,0,183455630
332,938415,8618,2635,0,186793581
306,938605,8421,2668,0,190110215
311,938561,8407,2721,0,193455186
300,938669,8269,2762,0,196782308
276,938769,8224,2731,0,200113477
235,938836,8189,2740,0,203437662
227,939067,7947,2759,0,206777861
196,939124,7939,2741,0,210101882
156,939378,7708,2758,0,213441801
152,939325,7718,2805,0,216765731
143,939524,7584,2749,0,220099829
108,939516,7495,2881,0,223421323
