recipients,donors,transconjugants,segregadas,adaptations_number,cycle
935065,10518,4410,7,0,6326178
931825,10651,7512,12,0,9412882
928187,10942,10859,12,0,12419968
924077,11261,14659,3,0,15417924
919651,11716,18628,5,0,18436209
914626,12181,23186,7,0,21448912
909220,12658,28106,16,0,24456211
903839,12987,33159,15,0,27480699
897668,13504,38811,17,0,30508278
890861,13952,45174,13,0,33536401
884012,14457,51503,28,0,36569577
876804,15112,58070,14,0,39621823
868702,15796,65485,17,0,42668450
860312,16458,73206,24,0,45712845
852078,17078,80820,24,0,48784895
842840,17800,89346,14,0,51864577
833258,18501,98228,13,0,54944301
823229,19198,107547,26,0,58017450
813241,19805,116903,51,0,61109771
802935,20564,126457,44,0,64208779
792207,21392,136360,41,0,67307521
781169,22333,146454,44,0,70426858
770319,23239,156391,51,0,73554983
758821,24097,167036,46,0,76702386
746629,24972,178338,61,0,79846883
734744,25927,189263,66,0,83001009
721761,27037,201141,61,0,86166301
709491,27909,212543,57,0,89335585
696595,28889,224455,61,0,92518014
683930,29908,236092,70,0,95719781
670999,31048,247892,61,0,98922269
657782,32218,259912,88,0,102127617
644014,33248,272658,80,0,105354182
630389,34444,285082,85,0,108585264
617191,35685,297040,84,0,111824416
603169,36814,309932,85,0,115078721
589842,38059,321994,105,0,118343330
575663,39184,335048,105,0,121601045
561876,40428,347594,102,0,124886870
547417,41671,360816,96,0,128180748
533371,42756,373791,82,0,131479675
518883,43980,387052,85,0,134787589
505313,45356,399215,116,0,138094053
491689,46856,411356,99,0,141415284
478152,48509,423255,84,0,144749837
464327,49793,435758,122,0,148097377
450837,51318,447734,111,0,151441403
437520,52617,459755,108,0,154813512
424002,54491,471408,99,0,158201362
410488,55865,483530,117,0,161577978
397732,57308,494836,124,0,164961039
384716,59096,506070,118,0,168376435
371769,60729,517398,104,0,171799738
359372,62600,527917,111,0,175226795
347245,64238,538367,150,0,178656328
335034,65973,548854,139,0,182099065
322774,67807,559272,147,0,185547246
310935,69445,569474,146,0,188995067
298834,71435,579626,105,0,192479239
287300,73231,589318,151,0,195951158
276181,75211,598481,127,0,199428441
265083,77028,607765,124,0,202915872
254663,79217,615984,136,0,206413478
243784,81305,624768,143,0,209917765
233032,83376,633443,149,0,213412157
222848,85557,641452,143,0,216930458
213419,87344,649084,153,0,220435438
203382,89646,656793,179,0,223961868
193837,91824,664185,154,0,227491444
184915,93843,671080,162,0,231027561
176368,96133,677326,173,0,234581678
167967,98343,683542,148,0,238135487
159655,100509,689646,190,0,241668186
151722,102947,695140,191,0,245220597
144511,105348,699984,157,0,248783344
137012,107497,705320,171,0,252351591
129754,109539,710540,167,0,255904489
122414,112131,715299,156,0,259468655
115399,114485,719957,159,0,263027863
108684,116718,724398,200,0,266597009
101971,118692,729174,163,0,270176737
95950,121210,732657,183,0,273768552
89778,123477,736565,180,0,277344957
83846,126104,739864,186,0,280922933
78566,128557,742714,163,0,284513144
73361,131228,745223,188,0,288106826
68466,133617,747732,185,0,291699855
63813,136127,749868,192,0,295293561
59498,138501,751827,174,0,298881715
55312,141189,753316,183,0,302472991
51618,143565,754640,177,0,306075105
48009,145919,755865,207,0,309682245
44747,148213,756876,164,0,313289602
41735,151025,757065,175,0,316887476
38707,153457,757644,192,0,320496157
36035,155961,757837,167,0,324101630
33285,158503,758005,207,0,327699697
30745,161141,757910,204,0,331288758
28533,163770,757485,212,0,334878826
26294,166305,757209,192,0,338481737
24204,169218,756356,222,0,342083791
22184,171560,756043,213,0,345679946
20415,173867,755499,219,0,349281551
18770,176594,754447,189,0,352881511
17047,179050,753705,198,0,356486380
15417,181779,752625,179,0,360062197
13997,184861,750949,193,0,363653975
12680,187777,749345,198,0,367240422
11459,190486,747868,187,0,370824474
10172,193156,746473,199,0,374419893
9082,196041,744683,194,0,377998431
8154,198603,743040,203,0,381578589
7307,201483,740998,212,0,385162061
6589,203970,739251,190,0,388742169
5930,206909,736991,170,0,392324028
5403,209628,734770,199,0,395907388
4869,212503,732451,177,0,399492041
4372,215484,729898,246,0,403060388
3922,218322,727547,209,0,406637966
3497,220777,725511,215,0,410200389
3091,223935,722740,234,0,413773906
2700,226896,720211,193,0,417343916
2350,230200,717230,220,0,420903513
1962,233294,714524,220,0,424488618
1674,236719,711427,180,0,428069509
1351,239605,708874,170,0,431637979
1127,242675,706012,186,0,435195954
848,245646,703303,203,0,438760760
671,248795,700346,188,0,442301523
510,251761,697518,211,0,445852622
375,254979,694457,189,0,449400497
293,258076,691421,210,0,452940352
185,261223,688388,204,0,456483649
138,264144,685530,188,0,460020177
97,267216,682489,198,0,463562163
47,270201,679536,216,0,467106480
30,273311,676472,187,0,470647916
21,276468,673319,192,0,474180450
15,279502,670271,212,0,477712015
1,282552,667257,190,0,481241363
0,285736,664077,187,0,484769491
0,289288,660508,204,0,488297867
0,292188,657602,210,0,491830375
0,295216,654588,196,0,495354906
0,298708,651087,205,0,498873926
0,301699,648085,216,0,502396560
0,305035,644749,216,0,505918045
0,308368,641414,218,0,509428245
0,311446,638389,165,0,512942037
0,314829,634978,193,0,516453236
0,318297,631525,178,0,519964028
0,321668,628159,173,0,523465593
0,324786,625056,158,0,526959847
0,328201,621603,196,0,530467858
0,331719,618104,177,0,533973199
0,335098,614714,188,0,537457718
0,338312,611507,181,0,540964106
0,341552,608293,155,0,544453962
0,345105,604703,192,0,547946203
0,348256,601566,178,0,551431483
0,351715,598093,192,0,554911709
0,354864,594945,191,0,558387773
0,358308,591499,193,0,561858018
0,361797,587967,236,0,565323945
0,365357,584438,205,0,568794220
0,368839,580969,192,0,572259401
0,372383,577428,189,0,575717672
0,376106,573686,208,0,579171773
0,379194,570639,167,0,582617406
0,382435,567382,183,0,586075012
0,385864,563927,209,0,589523527
0,389341,560455,204,0,592968134
0,392522,557268,210,0,596411220
0,396020,553786,194,0,599847979
0,399840,549976,184,0,603280335
0,403222,546603,175,0,606724701
0,406720,543103,177,0,610153814
0,410154,539644,202,0,613568787
0,413388,536399,213,0,616994275
0,416470,533302,228,0,620421989
0,419908,529871,221,0,623846181
0,423612,526202,186,0,627267133
0,426851,522975,174,0,630699948
0,430123,519701,176,0,634116376
0,433296,516495,209,0,637520209
0,436319,513451,230,0,640928429
0,439636,510165,199,0,644331046
0,443277,506514,209,0,647741903
0,446915,502868,217,0,651137494
0,450216,499565,219,0,654543255
0,453804,496012,184,0,657949997
0,456924,492820,256,0,661343998
0,460435,489354,211,0,664744256
0,463494,486336,170,0,668134098
0,467004,482789,207,0,671532462
0,470413,479396,191,0,674907249
0,473996,475805,199,0,678281884
0,477635,472184,181,0,681656749
0,480681,469111,208,0,685038400
0,484204,465614,182,0,688413922
0,487236,462563,201,0,691797727
0,491140,458642,218,0,695174647
0,494153,455635,212,0,698557853
0,497149,452626,225,0,701931232
0,500532,449271,197,0,705290100
0,503787,446032,181,0,708658295
0,507167,442622,211,0,712017419
0,510957,438857,186,0,715367369
0,513706,436085,209,0,718710195
0,517209,432568,223,0,722079415
0,520245,429548,207,0,725427871
0,523756,426032,212,0,728765112
0,527453,422354,193,0,732110239
0,530801,418998,201,0,735444701
0,533875,415945,180,0,738762601
0,537376,412437,187,0,742098499
0,540463,409318,219,0,745432186
0,543608,406188,204,0,748772780
0,546503,403324,173,0,752087765
0,549883,399930,187,0,755424224
0,552945,396861,194,0,758749971
0,556152,393651,197,0,762073238
0,559325,390505,170,0,765383873
0,562568,387227,205,0,768691993
0,565642,384163,195,0,771987708
0,568654,381152,194,0,775287983
0,571934,377882,184,0,778585739
0,574834,374983,183,0,781897824
0,578380,371419,201,0,785197796
0,581719,368062,219,0,788505265
0,584973,364817,210,0,791796875
0,588245,361555,200,0,795093418
0,591291,358508,201,0,798400756
0,594684,355104,212,0,801683534
0,597461,352332,207,0,804974124
