recipients,donors,transconjugants,segregadas,adaptations_number,cycle
938612,7582,3805,1,0,6365678
936187,7755,6056,2,0,9458781
933232,8021,8744,3,0,12474746
929863,8400,11730,7,0,15493106
926172,8883,14942,3,0,18530380
922169,9460,18365,6,0,21561236
917711,10184,22096,9,0,24603710
912817,10958,26220,5,0,27673262
907810,11605,30574,11,0,30741764
902218,12461,35313,8,0,33812930
896086,13480,40410,24,0,36907093
889814,14563,45597,26,0,40011538
882750,15646,51580,24,0,43133519
875471,16825,57682,22,0,46269036
868063,17994,63923,20,0,49419102
860068,19364,70548,20,0,52588599
851613,20723,77635,29,0,55780299
843238,22205,84532,25,0,58982724
834245,23651,92082,22,0,62212850
825464,25316,99184,36,0,65443256
816184,26932,106852,32,0,68705917
806866,28654,114452,28,0,71991703
796783,30433,122757,27,0,75278523
786954,32328,130689,29,0,78603864
776517,34326,139128,29,0,81945470
766432,36240,147275,53,0,85311158
755401,38482,156078,39,0,88708153
744486,40527,164937,50,0,92120417
733175,42633,174132,60,0,95564026
721661,45106,183190,43,0,99012435
710307,47670,191975,48,0,102489679
698279,50099,201576,46,0,105993110
686551,52580,210821,48,0,109510894
674325,54989,220620,66,0,113044053
662401,57907,229620,72,0,116596284
650312,60651,238972,65,0,120195711
638008,63382,248558,52,0,123804672
625337,66301,258299,63,0,127451801
613060,69194,267667,79,0,131104851
600465,72036,277442,57,0,134775039
587127,74951,287846,76,0,138464385
574319,78112,297479,90,0,142175377
561888,81483,306556,73,0,145903316
549039,84558,316327,76,0,149635015
536305,87523,326080,92,0,153392186
523242,90712,335953,93,0,157160440
510568,94060,345264,108,0,160930389
497838,97051,355024,87,0,164715477
485060,100101,364739,100,0,168478803
472697,103269,373929,105,0,172236189
459953,106138,383802,107,0,175967874
447228,108881,393798,93,0,179698333
435014,111429,403441,116,0,183392725
422511,113798,413587,104,0,187028847
410422,116144,423316,118,0,190646592
398472,118218,433212,98,0,194227840
386513,120164,443200,123,0,197777470
374960,121753,453170,117,0,201272500
363503,123188,463198,111,0,204732335
352322,124224,473334,120,0,208157579
341524,125583,482759,134,0,211559874
330764,126475,492628,133,0,214926568
320155,127566,502155,124,0,218277611
309917,128250,511694,139,0,221589539
299683,129021,521177,119,0,224892574
289452,129350,531055,143,0,228188845
279890,129595,540374,141,0,231467402
270509,129862,549465,164,0,234747260
261070,130179,558603,148,0,238014263
251799,130415,567638,148,0,241278047
242778,130407,576657,158,0,244543678
234101,130606,585156,137,0,247804831
225391,130797,593674,138,0,251090793
217058,130893,601886,163,0,254357683
208543,131046,610226,185,0,257617393
200104,130876,618841,179,0,260880913
191726,130623,627501,150,0,264153379
183744,130563,635526,167,0,267422230
175809,130420,643646,125,0,270696381
168146,130476,651233,145,0,273975969
