recipients,donors,transconjugants,segregadas,adaptations_number,cycle
459198,477202,11655,1945,0,6353209
450706,479321,17803,2170,0,9476770
442115,481674,23948,2263,0,12517181
433358,484816,29528,2298,0,15553278
424260,489028,34352,2360,0,18597164
416019,493053,38549,2379,0,21649007
407487,497887,42196,2430,0,24708137
398948,502848,45789,2415,0,27774497
390777,508511,48357,2355,0,30835372
382401,514641,50624,2334,0,33916742
373263,521437,52907,2393,0,37006312
364985,527660,54838,2517,0,40094923
356560,534461,56519,2460,0,43169323
348387,541757,57390,2466,0,46255446
340471,548953,58053,2523,0,49332857
331688,556794,58943,2575,0,52431623
323374,564728,59272,2626,0,55524206
315509,572212,59618,2661,0,58613706
306735,580704,59926,2635,0,61703143
299285,588473,59579,2663,0,64792509
292329,595812,59295,2564,0,67878612
284390,603416,59561,2633,0,70976598
276787,611610,59019,2584,0,74070512
269308,619169,58947,2576,0,77165114
262633,626011,58779,2577,0,80254251
254872,634238,58239,2651,0,83342352
248101,641888,57323,2688,0,86423544
241601,649210,56531,2658,0,89515614
234817,656487,56072,2624,0,92611786
228440,663361,55541,2658,0,95685103
221443,670824,55054,2679,0,98777739
214925,678101,54229,2745,0,101850534
208486,685183,53672,2659,0,104924484
202486,692035,52841,2638,0,108007865
195940,699283,52096,2681,0,111093257
189564,706267,51337,2832,0,114158193
183581,713038,50495,2886,0,117246575
177826,719596,49725,2853,0,120306055
171951,726495,48783,2771,0,123388770
166447,733000,47716,2837,0,126459457
160752,739641,46822,2785,0,129524402
154726,746631,45946,2697,0,132592744
149538,752964,44784,2714,0,135652206
144533,758977,43694,2796,0,138727366
139507,764980,42797,2716,0,141803098
134344,771007,41847,2802,0,144868781
129298,776904,40970,2828,0,147926415
124577,782694,39877,2852,0,150975945
120226,788575,38271,2928,0,154034943
115778,793600,37683,2939,0,157095608
111590,798868,36543,2999,0,160144714
107475,804374,35230,2921,0,163193460
103125,809849,34000,3026,0,166232419
99074,814761,33215,2950,0,169278437
95339,819449,32226,2986,0,172321754
91715,824102,31218,2965,0,175367258
88299,828700,30063,2938,0,178424109
84874,833123,29010,2993,0,181450213
81679,837056,28278,2987,0,184474060
78229,841266,27533,2972,0,187518648
75235,845269,26649,2847,0,190563779
71973,849336,25944,2747,0,193606467
68811,852918,25440,2831,0,196641403
66229,856484,24474,2813,0,199671914
63755,859697,23710,2838,0,202704641
61140,863068,22961,2831,0,205724610
58558,866316,22382,2744,0,208754139
56013,869436,21752,2799,0,211786881
53505,872675,21026,2794,0,214817593
51086,875832,20307,2775,0,217837961
48845,878717,19687,2751,0,220858581
46657,881366,19140,2837,0,223885562
44613,884267,18324,2796,0,226908609
42671,886876,17676,2777,0,229919573
40747,889455,17062,2736,0,232942973
38935,891885,16526,2654,0,235962144
37157,894139,16054,2650,0,238984446
35626,896513,15199,2662,0,242001764
34202,898698,14519,2581,0,245020883
