"recipients","donors","transconjugants","segregadas","adaptations_number","cycle"
"1",949171,826,3,0,0,6284414
"2",949186,807,7,0,0,9374327
"3",949174,817,9,0,0,12384261
"4",949181,803,16,0,0,15389791
"5",949206,779,14,1,0,18373359
"6",949197,772,26,5,0,21368256
"7",949164,799,30,7,0,24369372
"8",949166,794,32,8,0,27371016
"9",949171,788,36,5,0,30364431
"10",949197,763,36,4,0,33360251
"11",949202,767,29,2,0,36346524
"12",949215,754,30,1,0,39337906
"13",949207,759,34,0,0,42338812
"14",949188,783,28,1,0,45332359
"15",949170,792,37,1,0,48329055
"16",949187,779,34,0,0,51326244
"17",949200,768,31,1,0,54319787
"18",949165,808,27,0,0,57316359
"19",949169,809,22,0,0,60312188
"20",949145,833,22,0,0,63304191
"21",949138,836,26,0,0,66304027
"22",949163,814,22,1,0,69302901
"23",949145,832,20,3,0,72310584
"24",949145,827,27,1,0,75293202
"25",949117,848,29,6,0,78275946
"26",949136,843,20,1,0,81259072
"27",949095,869,32,4,0,84260210
"28",949121,848,26,5,0,87255135
"29",949118,849,30,3,0,90243382
"30",949131,839,27,3,0,93231982
"31",949123,844,28,5,0,96214541
"32",949123,841,30,6,0,99207420
"33",949133,840,22,5,0,102204838
"34",949135,837,24,4,0,105193612
"35",949141,832,24,3,0,108185520
"36",949135,838,27,0,0,111175708
"37",949153,828,18,1,0,114156391
"38",949132,843,24,1,0,117141597
"39",949111,868,21,0,0,120132263
"40",949156,829,15,0,0,123133405
"41",949135,847,17,1,0,126131071
"42",949177,801,22,0,0,129123553
"43",949185,798,17,0,0,132114602
"44",949208,775,16,1,0,135127491
"45",949210,776,12,2,0,138130465
"46",949191,793,11,5,0,141123811
"47",949192,790,18,0,0,144113563
"48",949172,804,24,0,0,147108497
"49",949198,774,28,0,0,150119675
"50",949227,745,28,0,0,153116917
"51",949210,762,28,0,0,156100964
"52",949232,736,31,1,0,159100228
"53",949208,756,30,6,0,162091139
"54",949216,750,28,6,0,165082257
"55",949191,780,23,6,0,168076927
"56",949175,791,27,7,0,171070170
"57",949183,782,29,6,0,174068940
"58",949142,821,35,2,0,177072900
"59",949161,810,27,2,0,180067650
"60",949189,783,26,2,0,183066273
"61",949171,805,24,0,0,186053120
"62",949182,790,28,0,0,189039619
"63",949144,822,34,0,0,192027750
"64",949137,831,31,1,0,195030694
"65",949158,811,29,2,0,198031259
"66",949166,812,19,3,0,201021905
"67",949125,854,17,4,0,204017208
"68",949083,890,18,9,0,207012577
"69",949095,876,18,11,0,209997194
"70",949090,877,22,11,0,212987762
"71",949139,827,29,5,0,215981701
"72",949126,844,26,4,0,218968233
"73",949094,870,31,5,0,221962505
"74",949087,885,17,11,0,224952093
"75",949022,942,26,10,0,227938919
"76",948980,972,33,15,0,230941060
"77",948980,976,27,17,0,233931741
"78",948938,1002,31,29,0,236920068
